url,name,tags,other_mockup_url,011_url
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/bc41021e-2020-4b11-b7d1-f8218ac7c3bd.png,bc41021e-2020-4b11-b7d1-f8218ac7c3bd,"canada, toronto, destination, abstract, skyline, ",https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/bc41021e-2020-4b11-b7d1-f8218ac7c3bd_3_081_w.png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/bc41021e-2020-4b11-b7d1-f8218ac7c3bd_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/e4df1fd4-37f4-40f7-ae75-bd289306d1df.png,e4df1fd4-37f4-40f7-ae75-bd289306d1df,"canada, toronto, destination, abstract, skyline, washingtondc, vote, president, dc, america, usa",https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/e4df1fd4-37f4-40f7-ae75-bd289306d1df_3_081_w.png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/e4df1fd4-37f4-40f7-ae75-bd289306d1df_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/42e00854-c42d-4827-9ba1-e5ea772769dd.png,42e00854-c42d-4827-9ba1-e5ea772769dd,"travel, destination, plane, city, newyork, ",https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/42e00854-c42d-4827-9ba1-e5ea772769dd_3_081_w.png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/42e00854-c42d-4827-9ba1-e5ea772769dd_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/3f1fbeb4-8e84-4105-9244-c03b7cc5b5d0.png,3f1fbeb4-8e84-4105-9244-c03b7cc5b5d0,"travel, destination, plane, beach, summer, palm, palmstrees",https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/3f1fbeb4-8e84-4105-9244-c03b7cc5b5d0_3_051_w.png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/3f1fbeb4-8e84-4105-9244-c03b7cc5b5d0_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/de9e9556-0766-44cb-bb35-8bbae0c84d64.png,de9e9556-0766-44cb-bb35-8bbae0c84d64,"summer, beach, shark, sharks, ocean, birthdayyouth, forhim, ",https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/de9e9556-0766-44cb-bb35-8bbae0c84d64_3_051_w.png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/de9e9556-0766-44cb-bb35-8bbae0c84d64_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/9d589279-e6e0-45b6-ba39-5fe5d3973785.png,9d589279-e6e0-45b6-ba39-5fe5d3973785,"games, chess, board, ",https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/9d589279-e6e0-45b6-ba39-5fe5d3973785_3_081_w.png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/9d589279-e6e0-45b6-ba39-5fe5d3973785_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/e9339956-20c6-46ad-8a3e-17251b8bdda3.png,e9339956-20c6-46ad-8a3e-17251b8bdda3,"movie, popcorn, food",https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/e9339956-20c6-46ad-8a3e-17251b8bdda3_3_081_w.png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/e9339956-20c6-46ad-8a3e-17251b8bdda3_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/689cedcc-3ed3-45e3-afc1-5f5406c340e3.png,689cedcc-3ed3-45e3-afc1-5f5406c340e3,"sea, ocean, summer, mermaid, animal",https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/689cedcc-3ed3-45e3-afc1-5f5406c340e3_3_051_w.png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/689cedcc-3ed3-45e3-afc1-5f5406c340e3_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/68e1ee36-7cd6-4457-bbdf-9fc0a2050f7a.png,68e1ee36-7cd6-4457-bbdf-9fc0a2050f7a,"sea, ocean, summer, mermaid, animal",https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/68e1ee36-7cd6-4457-bbdf-9fc0a2050f7a_3_081_w.png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/68e1ee36-7cd6-4457-bbdf-9fc0a2050f7a_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/f05dbfcc-dc00-4dad-b9fa-676e282e1e58.png,f05dbfcc-dc00-4dad-b9fa-676e282e1e58,"golf, forhim, sports, ",https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/f05dbfcc-dc00-4dad-b9fa-676e282e1e58_3_051_w.png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/f05dbfcc-dc00-4dad-b9fa-676e282e1e58_6_011.png
