url,name,tags,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,New Mockup URL,other_mockup_url,011_url
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/f3b9557d-4be2-4b7a-a5a8-f026d6d5dea7.png,f3b9557d-4be2-4b7a-a5a8-f026d6d5dea7,"sheep, animals, farm, country",,,,,,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/f3b9557d-4be2-4b7a-a5a8-f026d6d5dea7_3_081_w.png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/f3b9557d-4be2-4b7a-a5a8-f026d6d5dea7_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/3576bf07-cfd4-43b8-be8e-a6b91911214a.png,3576bf07-cfd4-43b8-be8e-a6b91911214a,"pitbull, animal, dog, dogs",,,,,,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/3576bf07-cfd4-43b8-be8e-a6b91911214a_3_081_w.png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/3576bf07-cfd4-43b8-be8e-a6b91911214a_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/1f8ee45e-1246-4763-b7a2-178553c9cd8f.png,1f8ee45e-1246-4763-b7a2-178553c9cd8f,"cats, Siamese, cats, animal",,,,,,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/1f8ee45e-1246-4763-b7a2-178553c9cd8f_3_05-(2).png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/1f8ee45e-1246-4763-b7a2-178553c9cd8f_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/0bc4359b-71e7-4beb-aa63-dac38033892b.png,0bc4359b-71e7-4beb-aa63-dac38033892b,"bowling, bowl, sport",,,,,,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/0bc4359b-71e7-4beb-aa63-dac38033892b_3_081_w.png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/0bc4359b-71e7-4beb-aa63-dac38033892b_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/7c846791-2bfc-4e92-9612-b689fc1a870d.png,7c846791-2bfc-4e92-9612-b689fc1a870d,"pickleball, pickle, ball, sport",,,,,,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/7c846791-2bfc-4e92-9612-b689fc1a870d_3_05-(2).png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/7c846791-2bfc-4e92-9612-b689fc1a870d_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/b74935ac-c039-44df-b8a3-c36970765525.png,b74935ac-c039-44df-b8a3-c36970765525,"cavapoo, poodle, goldendoodle, doodle, toypoodle, maltipoo, cockapoo, ",,,,,,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/b74935ac-c039-44df-b8a3-c36970765525_3_051_w.png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/b74935ac-c039-44df-b8a3-c36970765525_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/99e74b49-e063-4b6b-8b05-7c56abd0eb68.png,99e74b49-e063-4b6b-8b05-7c56abd0eb68,"american eskimo, huskey, snowday, snow, holiday, christmas, dog, dogs",,,,,,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/99e74b49-e063-4b6b-8b05-7c56abd0eb68_3_051_w.png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/99e74b49-e063-4b6b-8b05-7c56abd0eb68_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/0f874698-b1b9-4f70-8f22-4b7a65220c2f.png,0f874698-b1b9-4f70-8f22-4b7a65220c2f,"pug, fawn, dog, dogs",,,,,,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/0f874698-b1b9-4f70-8f22-4b7a65220c2f_3_05-(2).png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/0f874698-b1b9-4f70-8f22-4b7a65220c2f_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/f044b10e-345b-4345-92ed-81a90516aaae.png,f044b10e-345b-4345-92ed-81a90516aaae,"Stbernard, bernard, dog, dogs",,,,,,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/f044b10e-345b-4345-92ed-81a90516aaae_3_051_w.png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/f044b10e-345b-4345-92ed-81a90516aaae_6_011.png
https://compoundfoundry.s3.us-east-2.amazonaws.com/wrappingpaper/new_uploads/ee163d26-8fb0-4166-95c9-165d62056f79.png,ee163d26-8fb0-4166-95c9-165d62056f79,"airedale, terriers, dog, dogs, snowday, snow, christmas, holiday",,,,,,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/ee163d26-8fb0-4166-95c9-165d62056f79_3_05-(2).png,https://compoundfoundry.s3-us-east-2.amazonaws.com/wrappingpaper/new_uploads/ee163d26-8fb0-4166-95c9-165d62056f79_6_011.png
